date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:53:59	7631/7631	---MCZ	200	added ('OK')	text/html	date:Tue,%2012%20May%202020%2015:53:57%20GMT	http://www.adrianalima.com/index.php	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/index.html	(from )
17:54:00	242/242	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2012%20May%202020%2015:53:57%20GMT	http://www.adrianalima.com/robots.txt		(from )
17:54:00	6112/6112	---M-Z	200	added ('OK')	text/css	etag:%22209526-17e0-4eba51ed543b1%22	http://www.adrianalima.com/css/style.css	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/css/style.css	(from http://www.adrianalima.com/index.php)
17:54:00	47325/47325	---M-Z	200	added ('OK')	text/javascript	etag:%22311347880%22	http://fast.fonts.com/jsapi/ea4c9bcc-daaa-4774-b4f7-da3841b248a6.js	C:/Mis%20lugares%20Web/adriana/fast.fonts.com/jsapi/ea4c9bcc-daaa-4774-b4f7-da3841b248a6.js	(from http://www.adrianalima.com/index.php)
17:54:00	93868/93868	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/Mis%20lugares%20Web/adriana/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from http://www.adrianalima.com/index.php)
17:54:01	7046/7046	---M-Z	200	added ('OK')	application/javascript	etag:%22263fc2-1b86-4eba51edbcb91%22	http://www.adrianalima.com/js/jquery.easing.min.js	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/js/jquery.easing.min.js	(from http://www.adrianalima.com/index.php)
17:54:01	15806/15806	---M-Z	200	added ('OK')	application/javascript	etag:%22263fc4-3dbe-4eba51edbcb91%22	http://www.adrianalima.com/js/jquery.touchSwipe-1.2.4.js	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/js/jquery.touchSwipe-1.2.4.js	(from http://www.adrianalima.com/index.php)
17:54:01	8700/8700	---M-Z	200	added ('OK')	application/javascript	etag:%22263fc1-21fc-4eba51edbcb91%22	http://www.adrianalima.com/js/scroller.js	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/js/scroller.js	(from http://www.adrianalima.com/index.php)
17:54:01	1068/1068	---M-Z	200	added ('OK')	application/javascript	etag:%22263fc0-42c-4eba51edbcb91%22	http://www.adrianalima.com/js/jquery.fittext.js	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/js/jquery.fittext.js	(from http://www.adrianalima.com/index.php)
17:54:02	2251/2251	---M-Z	200	added ('OK')	application/javascript	etag:%22263fc3-8cb-4eba51edbcb91%22	http://www.adrianalima.com/js/scripts.js	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/js/scripts.js	(from http://www.adrianalima.com/index.php)
17:54:02	12891/12891	---M-Z	200	added ('OK')	application/javascript	etag:%22263fc6-325b-4eba51edbcb91%22	http://www.adrianalima.com/js/jquery.thumbslide.js	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/js/jquery.thumbslide.js	(from http://www.adrianalima.com/index.php)
17:54:02	2174/2174	---M--	200	added ('OK')	image/png	etag:%22221920-87e-4eba51edb1011%22	http://www.adrianalima.com/img/twitter.png	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/img/twitter.png	(from http://www.adrianalima.com/index.php)
17:54:02	2072/2072	---M--	200	added ('OK')	image/png	etag:%2222312e-818-4eba51edb7d71%22	http://www.adrianalima.com/img/facebook.png	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/img/facebook.png	(from http://www.adrianalima.com/index.php)
17:54:03	7012/7012	---M--	200	added ('OK')	image/png	etag:%22220e0f-1b64-4eba51edaf0d1%22	http://www.adrianalima.com/img/youtube.png	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/img/youtube.png	(from http://www.adrianalima.com/index.php)
17:54:03	5788/5788	---M--	200	added ('OK')	image/png	etag:%222238e2-169c-4eba51edb8d11%22	http://www.adrianalima.com/img/instagram.png	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/img/instagram.png	(from http://www.adrianalima.com/index.php)
17:54:04	295144/295144	---M--	200	added ('OK')	image/jpeg	etag:%222094fb-480e8-4eba51ece0ff1%22	http://www.adrianalima.com/slides/1.jpg	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/slides/1.jpg	(from http://www.adrianalima.com/index.php)
17:54:04	124990/124990	---M--	200	added ('OK')	image/jpeg	etag:%222094fc-1e83e-4eba51ece0ff1%22	http://www.adrianalima.com/slides/2.jpg	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/slides/2.jpg	(from http://www.adrianalima.com/index.php)
17:54:05	78308/78308	---M--	200	added ('OK')	image/jpeg	etag:%222094fd-131e4-4eba51ece0ff1%22	http://www.adrianalima.com/slides/3.jpg	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/slides/3.jpg	(from http://www.adrianalima.com/index.php)
17:54:05	206177/206177	---M--	200	added ('OK')	image/jpeg	etag:%222094fe-32561-4eba51ece1f91%22	http://www.adrianalima.com/slides/4.jpg	C:/Mis%20lugares%20Web/adriana/www.adrianalima.com/slides/4.jpg	(from http://www.adrianalima.com/index.php)
